Original,Details,Braille
ক্ট্র,কটর,⠨⠅⠾⠗
ক্ত্র,কতর,⠨⠅⠞⠗
ক্ষ্ণ,কষণ,⠨⠅⠯⠼
ক্ষ্ব,কষব,⠨⠅⠯⠃
ক্ষ্ম,কষম,⠨⠅⠯⠍
ক্ষ্ম্য,কষময,⠨⠅⠯⠍⠽
ক্ষ্য,কষয,⠨⠅⠯⠽
গ্ধ্য,গধয,⠨⠛⠮⠽
গ্ধ্র,গধর,⠨⠛⠮⠗
গ্ন্য,গনয,⠨⠛⠝⠽
গ্র্য,গরয,⠨⠛⠗⠽
ঙ্‌ক্ত,ঙকত,⠨⠬⠅⠞
ঙ্ক্য,ঙকয,⠨⠬⠅⠽
ঙ্ক্ষ,ঙকষ,⠨⠬⠅⠯
ঙ্খ্য,ঙখয,⠨⠬⠭⠽
ঙ্গ্য,ঙগয,⠨⠬⠛⠽
ঙ্ঘ্য,ঙঘয,⠨⠬⠣⠽
ঙ্ঘ্র,ঙঘর,⠨⠬⠣⠗
চ্ছ্ব,চছব,⠨⠉⠡⠃
চ্ছ্র,চছর,⠨⠉⠡⠗
জ্জ্ব,জজব,⠨⠚⠚⠃
ণ্ঠ্য,ণঠয,⠨⠼⠺⠽
ণ্ড্য,ণডয,⠨⠼⠫⠽
ণ্ড্র,ণডর,⠨⠼⠫⠗
ত্ত্ব,ততব,⠨⠞⠞⠃
ত্ত্য,ততয,⠨⠞⠞⠽
ত্ম্য,তময,⠨⠞⠍⠽
ত্র্য,তরয,⠨⠞⠗⠽
দ্দ্ব,দদব,⠨⠙⠙⠃
দ্ভ্র,দভর,⠨⠙⠧⠗
দ্র্য,দরয,⠨⠙⠗⠽
ন্ট্র,নটর,⠨⠝⠾⠗
ন্ড্র,নডর,⠨⠝⠫⠗
ন্ত্ব,নতব,⠨⠝⠞⠃
ন্ত্য,নতয,⠨⠝⠞⠽
ন্ত্র,নতর,⠨⠝⠞⠗
ন্ত্র্য,নতরয,⠨⠝⠞⠗⠽
ন্থ্র,নথর,⠨⠝⠹⠗
ন্দ্য,নদয,⠨⠝⠙⠽
ন্দ্ব,নদব,⠨⠝⠙⠃
ন্দ্র,নদর,⠨⠝⠙⠗
ন্ধ্য,নধয,⠨⠝⠮⠽
ন্ধ্র,নধর,⠨⠝⠮⠗
প্র্য,পরয,⠨⠏⠗⠽
ম্প্র,মপর,⠨⠍⠏⠗
ম্ব্র,মবর,⠨⠍⠃⠗
ম্ভ্র,মভর,⠨⠍⠧⠗
র্ক্য,রকয,⠨⠗⠅⠽
র্গ্য,রগয,⠨⠗⠛⠽
র্ঘ্য,রঘয,⠨⠗⠣⠽
র্চ্য,রচয,⠨⠗⠉⠽
র্জ্য,রজয,⠨⠗⠚⠽
র্জ্ঞ,রজঞ,⠨⠗⠚⠒
র্ণ্য,রণয,⠨⠗⠼⠽
র্ত্য,রতয,⠨⠗⠞⠽
র্থ্য,রথয,⠨⠗⠹⠽
র্ব্য,রবয,⠨⠗⠃⠽
র্ম্য,রময,⠨⠗⠍⠽
র্শ্য,রশয,⠨⠗⠩⠽
র্ষ্য,রষয,⠨⠗⠯⠽
র্হ্য,রহয,⠨⠗⠓⠽
র্গ্র,রগর,⠨⠗⠛⠗
র্ত্ম,রতম,⠨⠗⠞⠍
র্ত্র,রতর,⠨⠗⠞⠗
র্ৎস,রতস,⠨⠗⠞⠎
র্দ্ব,রদব,⠨⠗⠙⠃
র্দ্র,রদর,⠨⠗⠙⠗
র্ধ্ব,রধব,⠨⠗⠮⠃
র্শ্ব,রশব,⠨⠗⠩⠃
র্হ্য,রহয,⠨⠗⠓⠽
র্ঢ্য,রঢয,⠨⠗⠿⠽
ল্ক্য,লকয,⠨⠇⠅⠽
ষ্ক্র,ষকর,⠨⠯⠅⠗
ষ্ট্য,ষটয,⠨⠯⠾⠽
ষ্ট্র,ষটর,⠨⠯⠾⠗
ষ্ঠ্য,ষঠয,⠨⠯⠺⠽
ষ্প্র,ষপর,⠨⠯⠏⠗
স্ত্ব,সতব,⠨⠎⠞⠃
স্ত্য,সতয,⠨⠎⠞⠽
স্ত্র,সতর,⠨⠎⠞⠗
স্থ্য,সথয,⠨⠎⠹⠽
স্প্র,সপর,⠨⠎⠏⠗
স্প্‌ল,সপল,⠨⠎⠏⠇